last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Semien, Marcus,543760,431,19.2,36.2,107.9,88.1,91.1,84.8,422,191,388,157,36.4,25,5.8,4.4
Arraez, Luis,650333,429,10.8,43.6,103.2,87.9,89.9,85.9,409,161,377,105,24.5,12,2.8,2.4
Kwan, Steven,680757,429,11.1,38,105.2,85.8,87.5,85,407,149,386,86,20,6,1.4,1.1
Acuña Jr., Ronald,660670,414,7.3,33.3,116.7,95,98,92.8,470,158,424,232,56.2,59,14.3,10.6
Ramírez, José,608070,401,18.7,36.9,111.6,89.7,92.2,89.4,426,183,401,159,39.7,29,7.2,5.7
Hoerner, Nico,663538,399,10.6,35.1,109.2,86.9,88.9,87,404,150,380,134,33.6,10,2.5,2
Bregman, Alex,608324,396,18.8,36.9,107.5,88.2,91.7,86.8,413,188,383,144,36.4,21,5.3,3.9
Witt Jr., Bobby,677951,396,15.6,34.8,113.8,90.5,94.4,87.9,442,182,413,175,44.2,45,11.4,8.6
McNeil, Jeff,643446,395,13.2,32.4,109,86.3,90.1,84.6,400,154,374,114,28.9,5,1.3,1
Freeman, Freddie,518692,391,16.2,47.1,110.6,90.1,93.2,85.2,442,195,398,162,41.4,47,12,8.5
Torres, Gleyber,650402,390,15.7,37.4,112.4,89.4,93.2,85,443,177,392,150,38.5,32,8.2,6.3
Albies, Ozzie,645277,381,17,36.5,110.7,88.8,92.2,85.2,425,189,389,146,38.3,34,8.9,6.7
Tucker, Kyle,663656,381,13.3,34.4,110.1,90.6,94.2,87.5,447,183,397,187,49.1,38,10,7.4
Guerrero Jr., Vladimir,665489,380,9.3,33.2,116.7,93.3,96.3,92.3,450,160,401,204,53.7,46,12.1,8.9
Franco, Wander,677551,377,8.9,35,111,89.4,93.8,85.9,448,155,397,162,43,29,7.7,5.9
Arenado, Nolan,571448,374,17.6,34.2,110.3,89.5,93.7,86.1,429,173,393,154,41.2,32,8.6,6.5
Stott, Bryson,681082,373,10.4,37.3,108,88.3,91.2,86.5,418,158,382,134,35.9,16,4.3,3.3
Springer, George,543807,373,11.3,31.4,115.9,88.2,92.7,85.8,440,156,402,149,39.9,30,8,5.8
Turner, Trea,607208,371,13.3,36.4,109.6,89.8,92.8,87.2,424,175,398,150,40.4,24,6.5,4.5
Rutschman, Adley,668939,370,12.1,37.3,111.1,87.8,92.2,83.4,461,168,401,139,37.6,26,7,5
Meneses, Joey,608841,368,9.3,32.1,110.8,89.1,93.3,87.3,428,148,394,153,41.6,21,5.7,4.2
Betts, Mookie,605141,367,19.9,40.9,110.1,92.5,96.1,87,436,214,396,181,49.3,48,13.1,9.1
Marte, Ketel,606466,364,11.6,31,113.7,90.6,93.4,89.7,435,162,396,152,41.8,30,8.2,6
Bichette, Bo,666182,363,5.5,41.3,113.4,90.5,93.3,88,460,160,401,162,44.6,34,9.4,7.2
Riley, Austin,663586,362,14,35.6,116.1,92.3,96.7,88.5,473,179,412,178,49.4,46,12.7,8.6
Rodríguez, Julio,677594,362,8,33.1,116.7,93.1,96.1,91.2,454,156,395,189,52.2,39,10.8,7.2
Bogaerts, Xander,593428,360,7.4,29.4,110.4,87.6,92.5,84.7,455,149,402,126,35,23,6.4,4.6
France, Ty,664034,359,13.4,36.8,112.7,87,91,84.7,437,157,397,133,37,24,6.7,4.8
Benintendi, Andrew,643217,359,13.5,40.7,109.1,86.5,88.6,84.4,402,169,395,92,25.6,10,2.8,2.1
Yoshida, Masataka,807799,358,3.2,27.4,112.3,89.1,93,87.4,447,132,392,149,41.6,21,5.9,4.7
Rosario, Amed,642708,356,8.5,34.3,110.5,88.2,92.2,87.1,408,151,378,143,40.2,12,3.4,2.6
Lowe, Nathaniel,663993,355,7.5,36.6,111.2,89.8,93.3,87.3,430,157,399,141,39.7,25,7,4.6
Goldschmidt, Paul,502671,352,12.5,34.4,111.7,91.4,95.8,87.3,444,171,406,179,50.9,42,11.9,7.9
Merrifield, Whit,593160,351,13.2,39,104.6,85.2,88.9,81,406,167,385,89,25.4,10,2.8,2.2
Ruiz, Keibert,660688,351,15.2,39.3,110.1,87.6,91.6,86.2,431,168,389,115,32.8,24,6.8,5.7
Walker, Christian,572233,349,17.3,33.5,114.3,88.9,92.4,86.5,459,180,404,147,42.1,41,11.7,8.2
Verdugo, Alex,657077,349,8,36.1,112.4,89.1,92.3,87.2,419,161,392,128,36.7,18,5.2,3.9
Yelich, Christian,592885,348,4.5,31,113.5,92.4,96.5,90.5,439,143,395,181,52,31,8.9,6
Thomas, Lane,657041,348,12,35.3,109.3,88.3,93.7,84.2,434,164,402,139,39.9,29,8.3,5.6
Cronenworth, Jake,630105,346,15,35.5,108.4,87.3,91.1,83.5,414,173,389,114,32.9,16,4.6,3.2
Lindor, Francisco,596019,346,19.1,38.7,111,91.8,95.1,89.3,439,195,402,158,45.7,38,11,7.4
Turner, Justin,457759,345,15.6,35.9,108.2,89.8,93.1,86.5,447,189,389,136,39.4,21,6.1,4.5
Devers, Rafael,646240,342,12.2,29.8,115,92.5,96.7,89.7,453,172,401,178,52,44,12.9,9.1
Castellanos, Nick,592206,341,12.6,35.5,111.2,89,93.6,84.4,444,172,395,149,43.7,36,10.6,7.1
Smith, Dominic,642086,340,10.7,36.2,108.3,85.7,90.7,81.1,444,159,403,99,29.1,16,4.7,3.5
Steer, Spencer,668715,340,16.8,36.5,110.6,89.1,92.8,86.7,441,182,400,130,38.2,21,6.2,4.2
Bohm, Alec,664761,338,10.7,35.2,109.3,89.4,91.7,88.7,440,164,406,144,42.6,19,5.6,4.3
Santana, Carlos,467793,338,12.5,33.4,111.7,89,92.5,88.2,442,154,394,122,36.1,21,6.2,4.5
Gurriel Jr., Lourdes,666971,338,10,31.4,108.9,89.5,94.4,85.9,425,163,396,155,45.9,29,8.6,6.6
Nimmo, Brandon,607043,338,11.4,33.4,111.9,91.7,94.8,90.3,445,166,408,159,47,30,8.9,5.8
Machado, Manny,592518,337,15.1,28.2,114.5,91,94.2,89.4,443,169,400,153,45.4,32,9.5,7
Giménez, Andrés,665926,337,13,28.5,108.1,85.2,89.6,83.5,413,147,382,90,26.7,18,5.3,3.9
García, Luis,671277,335,4.1,32.2,109.9,88.3,93.1,85.2,430,139,386,124,37,20,6,4.9
De La Cruz, Bryan,650559,334,10.3,42.8,111,90.6,94.3,87,428,172,397,148,44.3,28,8.4,5.8
Tatis Jr., Fernando,665487,334,10.7,33.2,113.4,92.3,96.6,88.9,444,166,408,169,50.6,38,11.4,8.2
Santander, Anthony,623993,330,21,33.6,113,90.6,95.1,89.1,428,187,404,152,46.1,34,10.3,6.9
Torkelson, Spencer,679529,329,17.6,35.3,112.7,92.5,96.1,89.8,440,190,406,172,52.6,47,14.3,9.3
Reynolds, Bryan,668804,329,12.3,37.4,112.6,91.3,94.4,88,428,173,405,161,48.9,39,11.9,8.4
Carroll, Corbin,682998,328,10.9,30.8,113.8,90.2,93.9,88.2,446,159,399,132,40.2,26,7.9,5.4
Profar, Jurickson,595777,326,14.1,37.7,108,86.7,89.5,85.5,417,164,393,104,31.9,13,4,2.8
Díaz, Yandy,650490,326,6.4,30.1,114.5,93.9,95.2,93.8,440,150,405,174,53.4,28,8.6,6.1
Vaughn, Andrew,683734,325,12.7,31.4,111.7,91.1,95.4,88.4,427,167,395,151,46.5,30,9.2,6.5
Soto, Juan,665742,324,5.6,26.9,115.3,93.1,99.1,89,463,151,418,185,57.1,41,12.7,7.7
Abreu, José,547989,323,10.3,32.2,111.7,88.9,92.3,86.6,452,155,400,129,39.9,22,6.8,4.7
Abrams, CJ,682928,323,13.2,33.4,112.5,86.8,92,83.8,414,154,396,110,34.1,22,6.8,5
Renfroe, Hunter,592669,322,15.5,30.4,113.2,88.7,92.4,88.1,430,166,392,126,39.5,20,6.2,4.3
Dubón, Mauricio,643289,322,8.7,34.8,107,86.8,88.9,86.1,409,148,391,92,28.6,12,3.7,3.1
Olson, Matt,621566,322,17.4,31.7,118.6,94.9,98.2,91.1,464,204,414,186,57.8,60,18.6,11.2
Peña, Jeremy,665161,322,5.5,32.9,111.6,88,91.2,86.4,432,136,388,118,36.6,15,4.7,3.2
Ohtani, Shohei,660271,321,13.3,35.2,118.3,94.9,99.5,90.5,493,187,422,177,55.3,64,19.9,12
García, Adolis,666969,319,14.9,36.4,115.1,91.9,95.6,88,448,194,405,157,49.2,51,16,10
Perez, Salvador,521692,319,16,37.6,113.1,90.4,94.2,87.4,462,189,407,145,45.5,32,10,7.1
Alonso, Pete,624413,319,16.4,32.3,115.7,89.3,94.8,85.2,453,182,408,132,41.4,48,15,10
Candelario, Jeimer,600869,318,14.4,37.1,111.3,88.4,92.8,85.3,443,176,399,117,36.8,23,7.2,4.9
Báez, Javier,595879,316,7.7,27.2,113.1,87.9,93.1,84.6,434,139,393,122,39,12,3.8,2.7
